CountyFIPS,Year,Disease,Disease_AdjPrev,is_extreme_disease
4013,2022,COPD,5.2,False
4013,2022,Current Asthma,10.1,False
4015,2019,COPD,7.7,False
4015,2019,Current Asthma,10.1,False
4015,2020,COPD,7.7,False
4015,2020,Current Asthma,10.9,False
4015,2021,COPD,7.4,False
4015,2021,Current Asthma,10.9,False
4015,2022,COPD,7.7,False
4015,2022,Current Asthma,11.2,False
4017,2019,COPD,9.6,False
4017,2019,Current Asthma,11.7,False
4017,2020,COPD,9.4,False
4017,2020,Current Asthma,13.6,True
4017,2021,COPD,8.9,False
4017,2021,Current Asthma,12.8,True
4017,2022,COPD,9.0,False
4017,2022,Current Asthma,13.8,True
4019,2019,COPD,5.5,False
4019,2019,Current Asthma,9.5,False
4019,2020,COPD,5.7,False
4019,2020,Current Asthma,10.9,False
4019,2021,COPD,5.6,False
4019,2021,Current Asthma,10.3,False
4019,2022,COPD,5.7,False
4019,2022,Current Asthma,11.0,False
4021,2019,COPD,6.2,False
4021,2019,Current Asthma,9.5,False
4021,2020,COPD,6.4,False
4021,2020,Current Asthma,11.2,False
4021,2021,COPD,6.3,False
4021,2021,Current Asthma,10.1,False
4021,2022,COPD,6.2,False
4021,2022,Current Asthma,10.9,False
4023,2019,COPD,5.6,False
4023,2019,Current Asthma,9.1,False
4023,2020,COPD,5.7,False
4023,2020,Current Asthma,9.7,False
4023,2021,COPD,5.8,False
4023,2021,Current Asthma,10.0,False
4023,2022,COPD,5.6,False
4023,2022,Current Asthma,9.5,False
4025,2019,COPD,6.6,False
4025,2019,Current Asthma,10.2,False
4025,2020,COPD,6.6,False
4025,2020,Current Asthma,11.1,False
4025,2021,COPD,6.4,False
4025,2021,Current Asthma,10.8,False
4025,2022,COPD,6.2,False
4025,2022,Current Asthma,11.0,False
4027,2019,COPD,6.4,False
4027,2019,Current Asthma,9.5,False
4027,2020,COPD,6.5,False
4027,2020,Current Asthma,10.1,False
4027,2021,COPD,6.4,False
4027,2021,Current Asthma,9.9,False
4027,2022,COPD,6.2,False
4027,2022,Current Asthma,9.8,False
5019,2019,COPD,7.9,False
5019,2019,Current Asthma,10.2,False
5019,2020,COPD,8.0,False
5019,2020,Current Asthma,10.7,False
5019,2021,COPD,7.6,False
5019,2021,Current Asthma,10.2,False
5019,2022,COPD,8.0,False
5019,2022,Current Asthma,10.9,False
5035,2019,COPD,9.1,False
5035,2019,Current Asthma,11.3,False
5035,2020,COPD,8.3,False
5035,2020,Current Asthma,11.6,False
5035,2021,COPD,8.2,False
5035,2021,Current Asthma,11.1,False
5035,2022,COPD,8.3,False
5035,2022,Current Asthma,11.6,False
5113,2019,COPD,9.8,False
5113,2019,Current Asthma,10.2,False
5113,2020,COPD,9.6,False
5113,2020,Current Asthma,10.6,False
5113,2021,COPD,8.8,False
5113,2021,Current Asthma,10.0,False
5113,2022,COPD,8.9,False
5113,2022,Current Asthma,10.6,False
5119,2019,COPD,7.0,False
5119,2019,Current Asthma,9.8,False
5119,2020,COPD,6.6,False
5119,2020,Current Asthma,10.5,False
5119,2021,COPD,6.5,False
5119,2021,Current Asthma,10.0,False
5119,2022,COPD,6.4,False
5119,2022,Current Asthma,10.3,False
5139,2019,COPD,8.2,False
5139,2019,Current Asthma,10.4,False
5143,2019,COPD,7.3,False
5143,2019,Current Asthma,9.5,False
5143,2020,COPD,7.3,False
5143,2020,Current Asthma,10.1,False
5143,2021,COPD,7.0,False
5143,2021,Current Asthma,9.5,False
5143,2022,COPD,6.8,False
5143,2022,Current Asthma,10.2,False
6001,2019,COPD,3.8,False
6001,2019,Current Asthma,8.0,False
6001,2020,COPD,4.2,False
6001,2020,Current Asthma,8.7,False
6001,2021,COPD,3.7,False
6001,2021,Current Asthma,8.7,False
6001,2022,COPD,3.8,False
6001,2022,Current Asthma,8.8,False
6005,2019,COPD,5.6,False
6005,2019,Current Asthma,9.0,False
6005,2020,COPD,6.2,False
6005,2020,Current Asthma,9.9,False
6005,2021,COPD,5.8,False
6005,2021,Current Asthma,9.5,False
6005,2022,COPD,5.2,False
6005,2022,Current Asthma,10.1,False
6007,2019,COPD,6.2,False
6007,2019,Current Asthma,9.9,False
6007,2020,COPD,7.0,False
6007,2020,Current Asthma,10.5,False
6007,2021,COPD,6.6,False
6007,2021,Current Asthma,10.3,False
6007,2022,COPD,6.2,False
6007,2022,Current Asthma,10.5,False
6009,2019,COPD,5.8,False
6009,2019,Current Asthma,9.5,False
6009,2020,COPD,6.7,False
6009,2020,Current Asthma,10.5,False
6009,2021,COPD,6.5,False
6009,2021,Current Asthma,10.3,False
6009,2022,COPD,5.9,False
6009,2022,Current Asthma,10.5,False
6011,2019,COPD,5.4,False
6011,2019,Current Asthma,9.0,False
6011,2020,COPD,6.5,False
6011,2020,Current Asthma,10.1,False
6011,2021,COPD,6.3,False
6011,2021,Current Asthma,10.0,False
6011,2022,COPD,5.7,False
6011,2022,Current Asthma,9.8,False
6013,2019,COPD,4.1,False
6013,2019,Current Asthma,8.3,False
6013,2020,COPD,4.6,False
6013,2020,Current Asthma,9.2,False
6013,2021,COPD,4.2,False
6013,2021,Current Asthma,9.0,False
6013,2022,COPD,4.0,False
6013,2022,Current Asthma,9.4,False
6015,2019,COPD,7.2,False
6015,2019,Current Asthma,9.9,False
6015,2020,COPD,8.0,False
6015,2020,Current Asthma,10.7,False
6015,2021,COPD,7.6,False
6015,2021,Current Asthma,10.5,False
6015,2022,COPD,6.6,False
6015,2022,Current Asthma,10.8,False
6017,2019,COPD,4.9,False
6017,2019,Current Asthma,8.9,False
6017,2020,COPD,5.4,False
6017,2020,Current Asthma,9.9,False
6017,2021,COPD,5.0,False
6017,2021,Current Asthma,9.7,False
6017,2022,COPD,4.6,False
6017,2022,Current Asthma,9.9,False
6019,2019,COPD,5.6,False
6019,2019,Current Asthma,9.2,False
6019,2020,COPD,6.6,False
6019,2020,Current Asthma,10.3,False
6019,2021,COPD,6.1,False
6019,2021,Current Asthma,9.9,False
6019,2022,COPD,5.8,False
6019,2022,Current Asthma,9.8,False
6021,2019,COPD,6.3,False
6021,2019,Current Asthma,9.4,False
6021,2020,COPD,7.3,False
6021,2020,Current Asthma,10.5,False
6021,2021,COPD,6.9,False
6021,2021,Current Asthma,10.2,False
6021,2022,COPD,6.1,False
6021,2022,Current Asthma,10.1,False
6023,2019,COPD,6.6,False
6023,2019,Current Asthma,10.1,False
6023,2020,COPD,7.5,False
6023,2020,Current Asthma,11.1,False
6023,2021,COPD,6.9,False
6023,2021,Current Asthma,10.7,False
6023,2022,COPD,6.7,False
6023,2022,Current Asthma,11.0,False
6025,2019,COPD,5.3,False
6025,2019,Current Asthma,9.0,False
6025,2020,COPD,6.1,False
6025,2020,Current Asthma,10.0,False
6025,2021,COPD,5.9,False
6025,2021,Current Asthma,9.9,False
6025,2022,COPD,5.4,False
6025,2022,Current Asthma,9.2,False
6027,2019,COPD,5.4,False
6027,2019,Current Asthma,9.1,False
6027,2020,COPD,6.0,False
6027,2020,Current Asthma,10.1,False
6027,2021,COPD,5.5,False
6027,2021,Current Asthma,9.9,False
6027,2022,COPD,5.2,False
6027,2022,Current Asthma,10.4,False
6029,2019,COPD,6.1,False
6029,2019,Current Asthma,9.3,False
6029,2020,COPD,7.3,False
6029,2020,Current Asthma,10.2,False
6029,2021,COPD,6.7,False
6029,2021,Current Asthma,10.1,False
6029,2022,COPD,6.4,False
6029,2022,Current Asthma,10.3,False
6031,2019,COPD,5.7,False
6031,2019,Current Asthma,9.0,False
6031,2020,COPD,6.7,False
6031,2020,Current Asthma,10.0,False
6031,2021,COPD,6.4,False
6031,2021,Current Asthma,9.9,False
6031,2022,COPD,6.1,False
6031,2022,Current Asthma,9.7,False
6033,2019,COPD,6.8,False
6033,2019,Current Asthma,10.0,False
6033,2020,COPD,7.7,False
6033,2020,Current Asthma,10.9,False
6033,2021,COPD,7.2,False
6033,2021,Current Asthma,10.7,False
6033,2022,COPD,6.9,False
6033,2022,Current Asthma,10.9,False
6037,2019,COPD,4.3,False
6037,2019,Current Asthma,7.4,True
6037,2020,COPD,5.2,False
6037,2020,Current Asthma,9.2,False
6037,2021,COPD,4.7,False
6037,2021,Current Asthma,9.2,False
6037,2022,COPD,4.5,False
6037,2022,Current Asthma,9.0,False
6039,2019,COPD,6.1,False
6039,2019,Current Asthma,9.4,False
6039,2020,COPD,7.2,False
6039,2020,Current Asthma,10.7,False
6039,2021,COPD,6.8,False
6039,2021,Current Asthma,10.6,False
6039,2022,COPD,6.7,False
6039,2022,Current Asthma,10.4,False
6041,2019,COPD,3.9,False
6041,2019,Current Asthma,8.3,False
6041,2020,COPD,4.3,False
6041,2020,Current Asthma,9.4,False
6041,2021,COPD,4.1,False
6041,2021,Current Asthma,9.1,False
6041,2022,COPD,3.9,False
6041,2022,Current Asthma,9.5,False
6043,2019,COPD,6.1,False
6043,2019,Current Asthma,9.5,False
6043,2020,COPD,6.7,False
6043,2020,Current Asthma,10.5,False
6043,2021,COPD,6.2,False
6043,2021,Current Asthma,10.2,False
6043,2022,COPD,5.9,False
6043,2022,Current Asthma,10.6,False
6045,2019,COPD,6.2,False
6045,2019,Current Asthma,9.4,False
6045,2020,COPD,7.0,False
6045,2020,Current Asthma,10.5,False
6045,2021,COPD,6.5,False
6045,2021,Current Asthma,10.3,False
6045,2022,COPD,6.4,False
6045,2022,Current Asthma,10.7,False
6047,2019,COPD,5.9,False
6047,2019,Current Asthma,9.3,False
6047,2020,COPD,6.9,False
6047,2020,Current Asthma,10.4,False
6047,2021,COPD,6.4,False
6047,2021,Current Asthma,10.1,False
6047,2022,COPD,6.1,False
