CountyFIPS,Year,Population,Log_Population,Smoking_AdjPrev,Complete_4_Years,is_extreme_smoking,is_extreme_population
4019,2021,1052030,6.022028124464763,15.1,True,False,True
4019,2022,1063162,6.02659944546925,11.3,True,False,True
4021,2019,462789,5.665383027686636,17.4,True,False,False
4021,2020,480828,5.681989749950223,18.7,True,False,False
4021,2021,449557,5.652784764403072,17.2,True,False,False
4021,2022,484239,5.685059764045644,12.7,True,False,False
4023,2019,46498,4.667434273155681,14.5,True,False,False
4023,2020,46808,4.670320085102662,15.0,True,False,False
4023,2021,47883,4.680181352315623,14.8,True,False,False
4023,2022,49158,4.69159420524304,12.0,True,False,False
4025,2019,235099,5.37125078184546,17.2,True,False,False
4025,2020,240226,5.3806200099172266,17.4,True,False,False
4025,2021,242253,5.384269163949339,16.6,True,False,False
4025,2022,249081,5.396340600640217,12.9,True,False,False
4027,2019,213787,5.329981293015334,15.1,True,False,False
4027,2020,217824,5.338105728924504,16.4,True,False,False
4027,2021,206990,5.315949364540375,15.7,True,False,False
4027,2022,213221,5.328829975846958,13.7,True,False,False
5019,2019,22320,4.348694190265541,20.5,True,False,False
5019,2020,22103,4.344451223686138,21.3,True,False,False
5019,2021,21321,4.32880757016209,20.1,True,False,False
5019,2022,21274,4.327849154905208,17.4,True,False,False
5035,2019,47955,4.680833895327369,23.9,True,False,False
5035,2020,47616,4.677752909529766,22.3,True,False,False
5035,2021,47525,4.676922125537481,24.1,True,False,False
5035,2022,47139,4.673380365225038,18.8,True,False,False
5113,2019,19964,4.300247561194085,24.5,True,False,False
5113,2020,19707,4.294620516587421,24.2,True,False,False
5113,2021,19353,4.2867482966137125,24.2,True,False,False
5113,2022,19436,4.288606890390969,19.4,True,False,False
5119,2019,391911,5.593187453251661,19.6,True,False,False
5119,2020,392980,5.594370448312677,18.2,True,False,False
5119,2021,397821,5.599687704739647,18.9,True,False,False
5119,2022,400009,5.602069762843876,13.6,True,False,False
5139,2019,38682,4.5875089205947495,21.4,False,False,False
5143,2019,239187,5.378737571713992,18.6,True,False,False
5143,2020,243216,5.385992141666258,18.9,True,False,False
5143,2021,250057,5.398039016527445,17.9,True,False,False
5143,2022,261549,5.417553063895811,14.2,True,False,False
6001,2019,1671329,6.223061948888258,10.0,True,False,True
6001,2020,1662323,6.220715413845445,9.9,True,False,True
6001,2021,1648556,6.217103704332013,9.2,True,False,True
6001,2022,1622188,6.210101184419676,9.2,True,False,True
6005,2019,39752,4.599358983737476,14.2,True,False,False
6005,2020,40083,4.602960218714666,14.4,True,False,False
6005,2021,41259,4.6155186977102085,13.3,True,False,False
6005,2022,41811,4.6212905547613286,12.4,True,False,False
6007,2019,219186,5.340812811140254,14.6,True,False,False
6007,2020,212744,5.327857320560921,15.3,True,False,False
6007,2021,208309,5.318708034066321,14.6,True,False,False
6007,2022,207172,5.316331058663902,13.9,True,False,False
6009,2019,45905,4.66185999172781,15.0,True,False,False
6009,2020,46308,4.665656024619022,14.6,True,False,False
6009,2021,46221,4.664839337287267,14.7,True,False,False
6009,2022,46565,4.668059607290941,13.9,True,False,False
6011,2019,21547,4.333386811659532,13.5,True,False,False
6011,2020,21558,4.333608467588293,14.2,True,False,False
6011,2021,21917,4.340781107631172,14.4,True,False,False
6011,2022,22037,4.343152471662257,13.5,True,False,False
6013,2019,1153526,6.062027387785828,10.0,True,False,True
6013,2020,1152333,6.061577999195165,10.0,True,False,True
6013,2021,1161413,6.064986682896433,9.6,True,False,True
6013,2022,1155025,6.062591384439891,9.3,True,False,True
6015,2019,27812,4.4442322207135785,17.6,True,False,False
6015,2020,27968,4.446661410954309,17.6,True,False,False
6015,2021,28100,4.44870631990508,17.4,True,False,False
6015,2022,26589,4.424702004023985,15.1,True,False,False
6017,2019,192843,5.285203879050917,12.3,True,False,False
6017,2020,192925,5.285388508921991,11.9,True,False,False
6017,2021,193221,5.286054325436068,11.2,True,False,False
6017,2022,192215,5.283787275960191,10.6,True,False,False
6019,2019,999101,5.999609393656899,14.3,True,False,True
6019,2020,1000918,6.000398499451112,14.2,True,False,True
6019,2021,1013581,6.005858460919884,13.9,True,False,True
6019,2022,1017162,6.00739012706543,13.4,True,False,True
6021,2019,28393,4.453211282438223,15.2,True,False,False
6021,2020,28283,4.45152547352459,15.8,True,False,False
6021,2021,28805,4.4594678795625455,15.7,True,False,False
6021,2022,28129,4.449154293053878,14.2,True,False,False
6023,2019,135558,5.132125152704649,15.4,True,False,False
6023,2020,134977,5.130259771279629,15.8,True,False,False
6023,2021,136310,5.134527717797338,15.6,True,False,False
6023,2022,133985,5.127056180589668,15.0,True,False,False
6025,2019,181215,5.258194143382776,13.3,True,False,False
6025,2020,180267,5.255916231272498,14.0,True,False,False
6025,2021,179851,5.254912856907238,14.2,True,False,False
6025,2022,179057,5.252991303856433,13.3,True,False,False
6027,2019,18039,4.2562124585651615,13.6,True,False,False
6027,2020,18046,4.256380953031641,13.9,True,False,False
6027,2021,18970,4.278067330888662,13.1,True,False,False
6027,2022,18527,4.267805101513972,12.4,True,False,False
6029,2019,900202,5.954339973485818,15.1,True,False,True
6029,2020,901362,5.954899244950644,15.1,True,False,True
6029,2021,917673,5.962687953973589,16.1,True,False,True
6029,2022,913820,5.96086065885712,14.7,True,False,True
6031,2019,152940,5.184521085852911,14.3,True,False,False
6031,2020,152692,5.183816283638807,15.0,True,False,False
6031,2021,153443,5.185947080902639,15.1,True,False,False
6031,2022,152682,5.183787840190311,15.0,True,False,False
